request_id,user_id,request_date,request_type,requested_amount,desired_completion_date,allows_partial_payment,request_text,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,user_01,2024-03-03,purchase,25256,2024-03-20,true,"Would paying for the laptop today leave enough for my regular expenses? The laptop I'm looking at is ZAR 25,256.",18641.95,not_affordable,not_recommended,none,,none,Safe to pay now: ZAR 18641.95. Selected method: not_recommended; no safe eligible payment plan was found while preserving the ZAR 18000 minimum balance. Confirmed salary of ZAR 23320 is included on 2024-03-15. Recurring expense of ZAR 5148 is included.
request_02,user_02,2025-08-05,travel,46018000,2025-10-10,false,"The current quote for the trip is IDR 46,018,000. I need to complete it by 10 October 2025. Can I afford the full trip without putting upcoming bills at risk?",20024204.62,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-13,none,Safe to pay now: IDR 20024204.62. Selected method: installments; the deterministic 90-day forecast preserves the IDR 29158400 minimum balance from a current available balance of IDR 60383889.2. Earliest safe full-payment date: 2025-09-13. Recurring expense of IDR 3534000 is included.
request_03,user_03,2019-09-03,education,5491000,2019-11-15,false,"Should I pay for the course now, use installments, or wait? I need to decide by 15 November 2019. The course I want to take is IDR 5,491,000.",1094847.18,affordable_later,wait,2019-11-13:5491000,2019-11-13,none,Safe to pay now: IDR 1094847.18. Selected method: wait; the deterministic 90-day forecast preserves the IDR 2668700 minimum balance from a current available balance of IDR 5810300. Earliest safe full-payment date: 2019-11-13. Recurring expense of IDR 1140000 is included.
request_04,user_04,2024-06-04,family_transfer,12693000,2024-06-19,true,"The amount I want to send is IDR 12,693,000. Would sending the money now leave enough for my upcoming expenses?",12693000.00,affordable_now,full_payment,2024-06-04:12693000,2024-06-04,none,Safe to pay now: IDR 12693000.00. Selected method: full_payment; the deterministic 90-day forecast preserves the IDR 30686600 minimum balance from a current available balance of IDR 52206950. Recurring expense of IDR 12293000 is included.
request_05,user_05,2025-11-06,debt_repayment,15488,2026-01-12,false,"Can I clear this additional amount without putting upcoming bills at risk? The extra repayment I'm considering is ZAR 15,488.",15488.00,affordable_now,full_payment,2025-11-06:15488,2025-11-06,none,Safe to pay now: ZAR 15488.00. Selected method: full_payment; the deterministic 90-day forecast preserves the ZAR 13100 minimum balance from a current available balance of ZAR 46475.1. Recurring expense of ZAR 4972 is included.
request_06,user_06,2026-01-03,investment,620.4,2026-01-14,false,"I want to put EUR 620.40 into an investment. I need to complete it by 14 January 2026. Is it safer to invest now, invest a smaller amount, or wait?",620.40,affordable_now,full_payment,2026-01-03:620.4,2026-01-03,none,Safe to pay now: EUR 620.40. Selected method: full_payment; the deterministic 90-day forecast preserves the EUR 800 minimum balance from a current available balance of EUR 1942.4. Recurring expense of EUR 254.1 is included.
request_07,user_07,2024-09-05,housing,197400,2024-11-14,true,"How much of the rental deposit can I safely pay today? I need to decide by 14 November 2024. The rental deposit is INR 197,400.",92813.21,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-22,none,Safe to pay now: INR 92813.21. Selected method: installments; the deterministic 90-day forecast preserves the INR 93000 minimum balance from a current available balance of INR 218945.56. Earliest safe full-payment date: 2024-10-22. Recurring expense of INR 34200 is included.
request_08,user_08,2025-02-07,emergency_expense,996.6,2025-04-15,false,The repair I need is priced at EUR 996.60. Can I cover the full repair now and still manage my essential expenses?,0.00,not_affordable,not_recommended,none,,none,Safe to pay now: EUR 0.00. Selected method: not_recommended; no safe eligible payment plan was found while preserving the EUR 800 minimum balance. Recurring expense of EUR 467.5 is included.
request_09,user_09,2026-07-04,other,166.61,2026-07-23,true,"Is the full membership fee affordable today, or should I wait? The annual membership costs EUR 166.61.",166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Safe to pay now: EUR 166.61. Selected method: full_payment; the deterministic 90-day forecast preserves the EUR 600 minimum balance from a current available balance of EUR 2231.1. Recurring expense of EUR 211.2 is included.
request_10,user_10,2024-12-06,purchase,266700,2025-02-10,true,"The price of the laptop is INR 266,700. I need to complete it by 10 February 2025. How much of the laptop price can I safely cover today?",266700.00,not_affordable,not_recommended,none,2024-12-06,none,Safe to pay now: INR 266700.00. Selected method: not_recommended; no safe eligible payment plan was found while preserving the INR 225400 minimum balance. Earliest safe full-payment date: 2024-12-06. Recurring expense of INR 69100 is included.
